character,series,wishlist
Oushi Ashioki,A Sign of Affection,28
Craig,The Witch and the Beast,1
Neil Nordegraf,Scott Pilgrim Takes Off,14
Shizuku Mizuori,Summer Pockets,15
Abyssal Mercator,Wuthering Waves,0
Nelliel Tu Odelschwanck,Bleach,367
Shary Shadow Assassin,The Demon Sword Master of Excalibur Academy,11
Elegg,Nikke: Goddess of Victory,62
Yuki Kitagawa,Ensemble Girls!,1
Fuyutsuki,The Ice Guy and His Cool Female Colleague,64
Ophelia Clementine,The Kingdoms of Ruin,1
Gloomy,Gloomy the Naughty Grizzly,22
Akito Hyuga,Code Geass Gaiden: Boukoku no Akito,4
Neko Kamimoku,Akebi's Sailor Uniform,1
Isami Oomiya,Kiniro Mosaic,1
Arc,The Wrong Way to Use Healing Magic,1
Nagisa Momoe,Puella Magi Madoka Magica the Movie Part 3: Rebellion,14
Seidou Takizawa,Tokyo Ghoul,13
Bellion,Solo Leveling,26
Brain Ghost,Dark Gathering,1
Nagayama,Dark Gathering,1
Koku,B: The Beginning,10
Zem,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,1
Serufu Yua,Do It Yourself!!,12
Satoko Houjou,When They Cry: Higurashi,35
Centorea Shianus,Monster Musume no Iru Nichijou,38
Erisa Tachibana,World's End Harem,1
Robert E. O. Speedwagon,JoJo's Bizarre Adventure,111
Wolverine,Wolverine,18
Shizuma Hanazono,Strawberry Panic,13
Mai Teireida,Touhou Project,2
Ubagai,Food Fantasy,1
Quagsire,Pokémon Advanced,14
Gran,Chillin' in My 30s after Getting Fired from the Demon King's Army,1
Mia,The Alchemist Code,1
Sebastian,My One-Hit Kill Sister,0
Satotz,Hunter x Hunter,3
Shizuku Hinomori,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,61
Magnus,The Alchemist Code,1
Cheng Xiaoshi,Link Click,251
Lambdadelta,Umineko: When They Cry,19
Sekiguchi,Cross Game,0
Stephen A. Starphase,Blood Blockade Battlefront,8
Sebastian,Great Pretender,1
Orc King,Kemono Michi: Rise Up,1
Looker's Croagunk,Pokémon Generations,1
Suguru Aoyanagi,Eyeshield 21,0
Tenchou,Fight Ippatsu! Juuden-Chan!!,1
Cecil,Suicide Squad Isekai,1
Takashi Komuro,Highschool of the Dead,5
Yui Sakamoto,Blue Exorcist,0
Gustave St. Germain,Baccano!,0
Percy,Fire Emblem Fates,1
Hyouki,Senran Kagura: New Wave G Burst,11
Mei Narumiya,Ace of the Diamond,2
Ryohei Sasagawa,REBORN!,8
Kaori Minase,Psycho-Pass,1
Igrene,Fire Emblem: The Binding Blade,3
Goenitz,The King of Fighters '96,1
Mohican,Delinquent Hamsters,1
Kappa,Kappa Godaime,1
Iz,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",1
Lee,Daphne in the Brilliant Blue,0
Hikari Tamaki,Skip and Loafer,0
Nanami Momozono,Kamisama Kiss,86
Regenerating Rose,Yu-Gi-Oh! GX,1
Pratt,Sword Art Online Alternative: Gun Gale Online,1
Mung Bean,Food Fantasy,1
Kiss,JoJo's Bizarre Adventure: Stone Ocean,2
Reina Kisaragi,Here Is Greenwood,0
September,Coyote Ragtime Show,1
Katz,Reverse: 1999,1
Griffore,Yu-Gi-Oh! Duel Monsters,0
Black-tailed Prairie Dog,Kemono Friends,1
Gu,Non Non Biyori,1
Dinosaur,Time Bokan 24,1
Julia,Magical Girl Spec-Ops Asuka,1
Stella Vermillion,Chivalry of a Failed Knight,155
Kagami Hiiragi,Lucky Star,10
Sin,Nikke: Goddess of Victory,16
Robert Garcia,Art of Fighting,1
Prime Minister of Japan,Himitsukessha Taka no Tsume: Golden Spell,1
Ruri Kurosaki,Yu-Gi-Oh! Arc-V,1
Merina Concense,Lost Universe,0
Ryoko Ibuki,Tokko,0
Volcanic Snow,Food Fantasy,1
LI Chang Su,Blue Gender,0
Metal Rouge,Metallic Rouge,4
Ryutaros,Kamen Rider Den-O: Imagin Anime,1
Shiro,Crayon Shin-chan Movie 9: The Adult Empire Strikes Back,5
Seiji Hokuto,Ultraman,1
Natsuki Someya,Cheer Boys!!,0
Kiyomi Kirigamine,Twin Star Exorcists,1
Patchouli Knowledge,Touhou Project,40
Phoenix Wright,Ace Attorney,67
Kishima,High School Fleet,0
Natsume Hyuuga,Gakuen Alice,19
Akane Akaza,Yuru Yuri Season 2,1
Kiyoshi's Grandfather,Nichijou - My Ordinary Life,0
Cipher,Honkai: Star Rail,221
Reo Mikage,Blue Lock,112
Kenji Mitsuura,Mob Psycho 100,1
Zhu Jin,Hell's Paradise: Jigokuraku,2
Red's Lapras,Pokémon Origins,2
Ashura Gundam,Mobile Fighter G Gundam,1
Class President,Rosario + Vampire,0
Umeko,Golden Kamuy,0
Arima,Mysterious Girlfriend X,1
Toki,Ponyo on the Cliff by the Sea,1
Hyozanryu,Yu-Gi-Oh! GX,1
Hinana Ichikawa,The iDOLM@STER Shiny Colors,3
Charlotte Jerome,Jewelry Hearts Academia -We will wing wonder world-,0
Sandslash,Pokémon Mystery Dungeon: Explorers of Time and Darkness,5
Sorcerymon,Digimon Frontier,0
Yoko Aoba,Nanami-chan,0
Nrvnqsr Chaos,Tsukihime,1
Metal Bat,One-Punch Man,23
Mrs. Tachibana,Himouto! Umaru-chan R,1
Faeria,Shangri-La Frontier,0
Ashura-oh,Utsunomiko,0
Keiko Fujiwara,Holmes of Kyoto,1
Anna Misaki,Dark Gathering,1
Ken Ooya,Kengan Ashura,1
Bartos,Million Arthur 2nd Season,0
Fishmonger,Miss Shachiku and the Little Baby Ghost,1
Manager,Ishida and Asakura,0
Tartarmad,Food Fantasy,2
Mii's Friend,Ai Mai Mii: Surgical Friends,0
Miyuki Azuki,Bakuman. 2,0
Reggie,Cowboy Bebop,1
The Supreme King,Yu-Gi-Oh! GX,3
Emi Kino,Concrete Revolutio,1
Thandi,Elegant Youkai Apartment Life,1
Mother Superior,Avatar: The Last Airbender,2
Kazato Akimasa,Joker Game,1
Amana Osaki,The iDOLM@STER Shiny Colors,8
Orecchio,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,0
Jiromaru Amaou,Hakata Mentai! Pirikarako-chan,1
Mask De Masculine,Bleach: Sennen Kessen-hen,1
Rumia Uru,Kakegurui XX,2
Plant,JoJo's Bizarre Adventure,1
Riina Tada,The iDOLM@STER: Cinderella Girls,1
Shun Imai,Aikatsu!,0
Zura,Mamotte! Lollipop,1
Bell's Mom,Uninhabited Planet Survive,1
Elise,Fire Emblem Fates,7
Jaw Titan,Attack on Titan 2nd Season,4
Leo Mycenae,Saint Seiya Omega,1
Principal,Attack No. 1,0
Maou Dracones,RPG Densetsu Hepoi,0
Kate,Moriarty the Patriot,1
Mikoto Aiura,The Disastrous Life of Saiki K. 2nd Season,19
Brook,One Piece,330
Satania's Mother,Gabriel Dropout,1
Ryou Kirishima,Skirt no Naka wa Kedamono Deshita.,1
Komada,Yu Yu Hakusho,1
Kasumi,Dead or Alive,17
Mike,Kakegurui XX,1
Matsuri,Princess Connect! Re: Dive,1
Fuuga Haan,How a Realist Hero Rebuilt the Kingdom,0
Junshan Silver Needle Tea,Food Fantasy,1
Azumi Azuma,Matoi the Sacred Slayer,0
Dragon Knight,"If It's for My Daughter, I'd Even Defeat a Demon Lord",1
Izumo,Magician's Academy,0
Sakura Kinomoto,Cardcaptor Sakura,134
Rika Minami,Highschool of the Dead,4
Hoe,One Piece,9
Mayusura,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,1
Hikaru Kiyomiya,Alya Sometimes Hides Her Feelings in Russian,1
Astronaut Fadlan's Daughter,Planetes,0
Takato,The Melancholy of Haruhi Suzumiya,0
Reika Shinozaki,"My Sister, My Writer",1
Assistant,K-On! Live House!,2
Malmvist,Overlord II,1
Oliver,Berserk of Gluttony,0
Galtan,Space Adventure Cobra,0
Shinichi Kato,The Vampire Dies in No Time,1
Thor,Warlords of Sigrdrifa,1
Osamu Ishihama,Giant Killing,0
Sluggard God,Pop Team Epic,1
Kenkichi's Mother,Golden Kamuy 2nd Season,0
Illya Rozdestvenskaya,LUNARiA -Virtualized Moonchild-,1
Megasonic Eye,Yu-Gi-Oh! Duel Monsters,1
Yokai Doctor,GeGeGe no Kitarou (2018),1
Vyn Richter,Tears of Themis,67
Komari Kishigami,Yowamushi Pedal: New Generation,1
Astra Yao,Zenless Zone Zero,136
Liena Grace Vincent,B-Legend! Battle B-Daman,1
Tsubaki Nakatsukasa,Soul Eater,28
Galley,One Piece: Romance Dawn Story,1
Doc Klein,RWBY: Ice Queendom,1
Takeshi Ooshima,Baka and Test - Summon the Beasts 2,0
Societte,Granblue Fantasy,5
Yoshiharu Tsubameya,My Deer Friend Nokotan,0
Kaiser Seahorse,Yu-Gi-Oh! Duel Monsters,0
Yuki Tanishimi,Okusama wa Mahou Shoujo,0
Nefer,Genshin Impact,223
Passerby B,Spy x Family,1
Doom,Monster Strike,1
Mikio Sugimoto,Remake Our Life!,1
Laura Haruna,Hamtaro Movie 2: Ham Ham Ham~Jya! Maboroshi no Princess,1
Mark Radicchio,Neo Yokio,1
Scarlett Gosling,No Guns Life,1
Takashi Nasujima,Durarara!!,1
Grimo,Yu-Gi-Oh! Duel Monsters,1
Konayuki Itezora,Katanagatari,1
Taiga Himuro,Skate-Leading Stars,1
Flamme,Frieren: Beyond Journey's End,59
Tomoko Higashikata,JoJo's Bizarre Adventure: Diamond Is Unbreakable,5
Mashiro Mitsumine,Engaged to the Unidentified,8
Haruko Ishimoto,Sekkou Boys,0
Coletta,Monster,1
Kaguya Ootsutsuki,Naruto Shippuden,23
A-20,.hack//SIGN,1
Taisho,Onizushi,0
Dolph Tasta,They Were Eleven,1
Ancient Robot,Combatants Will Be Dispatched!,1
Odin,Granblue Fantasy,1
Mink,Dragon Half,1
Kaoru's Father,I Can't Understand What My Husband Is Saying,1
Laguna Loire,Final Fantasy VIII,2
Shirai,Blue Period,1
Shizuka's Mother,Takopi’s Original Sin,2
Youji Itami,GATE,3
Nuts,Sabikui Bisco,2
Misaka 9982,A Certain Scientific Railgun S,4
Yuki Kanno,Corpse Party: Tortured Souls,1
Yoshiko Yasukouchi,Saki: Episode of Side A,0
Karin Tsuyuki,Heartcatch Precure!,1
Cure Sunshine,Heartcatch Precure!,1
Yamada Asaemon Sagiri,Hell's Paradise: Jigokuraku,286
Époni,One Piece,1
Tadanori Hayama,The Irregular at Magic High School,1
Dark Lord,Flint the Time Detective,0
Anzu,Dandadan,1
Flatwoods Monster,Dandadan,2
Taxi Driver,Dandadan,1
Momo's Admirer,Dandadan,1
Acrobatic Silky,Dandadan,9
Mr. Mantis Shrimp,Dandadan,16
Dercori,Dragon Ball Super,0
Spider,Magic Kaito,2
Itsuki Manabe,The iDOLM@STER: Cinderella Girls,1
Miranda Wallace,Wise Man's Grandchild,1
Tsuuya,Chillin' in Another World with Level 2 Super Cheat Powers,1
Tae Hoshizora,Smile Precure!,1
Tsubomi Okuwaka,Strawberry Panic,1
Seiji Asoh,Detective Conan,1
Mirai Nazukari,LocoDol,1
Pink-Haired Girl,Supercell: Perfect Day,1
Villager C,Dungeon Meshi,1
Alisa Mikhailovna Kujou,Alya Sometimes Hides Her Feelings in Russian,1116
Asumi Sumiya,Plunderer,1
Noah Vix,Astra Lost in Space,1
Vino von Ronzado,Dame x Prince Anime Caravan,1
Waifu,Hozuki's Coolheadedness OVA,3
Minoru Minorikawa,Canaan,1
Mimiko's Grandmother,Panda! Go Panda!,0
Kyohei Kuno,GeGeGe no Kitarou (2018),1
Tikva Sant,Mobile Suit Gundam Unicorn,0
Kabru,Dungeon Meshi,45
Koko Hekmatyar,Jormungand,7
Lucius Modestus,Thermae Romae,1
Kibi,Beastars,1
Arnoul,Demon King Daimao,1
God,Farming Life in Another World,0
Brad Delson,Linkin Park: Breaking the Habit,9
Chrysaor Krishna,Saint Seiya: Knights of the Zodiac,1
Queen Constance,The Good Witch of the West,0
Ulrike,Kyo Kara Maoh!,1
Mud Frog,Shangri-La Frontier,1
Mukade,Naruto Shippuden Movie 4: The Lost Tower,0
Myomuto,Aoi Sekai no Chuushin de,0
Jonathan,Dinosaur King,1
Andy Wachowski,No Guns Life,1
Set's Daughter,Berserk of Gluttony,0
Rozaria Elenor,Noblesse,1
Nakameguro,Stand by Me Doraemon 2,1
Drawood,The Genius Prince's Guide to Raising a Nation Out of Debt,1
Charles de Loire,Tada Never Falls in Love,1
Indra Sahdan Myung,Muv-Luv Alternative,0
Monspeet,The Seven Deadly Sins: Revival of the Commandments,1
Yamada,The Quintessential Quintuplets,1
Pietro Yogdis,A Certain Magical Index III,0
Sako,Kokkoku: Moment by Moment,0
Mob,gdgd Fairies,1
Mikio Jinno,Fuuto PI,0
Rider,Fate/stay night,81
Licca Kayama,Licca-chan no Nichiyoubi,1
Brooke Darwin,Outbreak Company,1
Yasuyo Hashiguchi,Shiki,1
Yuna Tachiki,Those Snow White Notes,1
Franz Ackerman,Blood Blockade Battlefront & Beyond,0
Mismagius,Pokémon: Diamond & Pearl,2
Suzu Mukai,Horizon in the Middle of Nowhere,1
Misae,Eden of the East,0
Koubu F2 (Erica),Sakura Wars: Le Nouveau Paris,0
Natsuko Tanaka,Back Street Girls -GOKUDOLS-,0
Nagisa Totonoe,Norn9,1
Sakura Hanakoizumi,Anne-Happy,0
Kanna,Naruto Shippuden,1
Keith Gandor,Baccano!,1
Cornelia,Akame ga Kill!,1
Iroh,Avatar: The Last Airbender,254
Momoi,Seven Senses of the Re'Union,1
Catherine,Granblue Fantasy,1
Herod,Cleopatra,1
Opera Charlotte,One Piece,1
Emperor Black Hoihoi,To Be Hero,0
Renga Nishizono,18TRIP,12
Mitoki,A Sign of Affection,1
Takanobu Aone,Haikyuu!!,14
Narumori Sakayanagi,Classroom of the Elite,1
Muraoka,B.B. Fish,1
Armored Guard Dog,gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,10
John,Black Lagoon,1
Karin,Koihime Musou,1
General Merkulov,Violet Evergarden,1
Flapper,One Piece,1
Dr. Gamimotz,Blood Blockade Battlefront & Beyond,0
Daphne,The Alchemist Code,1
Nono's Mother,The Enchanted Journey,1
Xtreme Memory,Fuuto PI,0
Nikaido,Dorohedoro,56
"""La Nina""",Honkai Impact 3rd,1
Carmera Konnomy,Mobile Fighter G Gundam,0
Dark King,Precure,1
Lao,Legend of the Galactic Heroes,1
Fukurokuju,One Piece,1
Teddy Demon 1,Sleepy Princess in the Demon Castle,4
Sapphire,Astro Boy (1980),2
Minami Yamamoto,Wasteful Days of High School Girls,1
Tsukasa Kasuga,Tokimeki Memorial ~Only Love~,0
Nariyoshi Tokugawa,Hell's Paradise: Jigokuraku,1
Beautifly,Pokémon Advanced,1
Lavender,Dragon Ball Super,1
Hayato Kisuragi,Hundred,1
Otaku,Hacka Doll the Animation,1
Rot Spinne,Dies irae,0
Shouko Aizawa,Jewelpet Sunshine,1
Zowort,Mobile Suit Gundam: The Witch from Mercury,1
Potclean,Hunter x Hunter (2011),2
Hoshimi Miyabi,Zenless Zone Zero,466
Yang Li,Kowloon Generic Romance,1
Altria Caster,Fate/Grand Order,30
10th Seat of the Black Scripture,Overlord IV,1
Florio Balze,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",1
Seiun Sky,Uma Musume: Pretty Derby,23
Tohru's Female Cousin,Fruits Basket,1
Kanuka Clancy,Patlabor: The Movie,1
Lottery Turtle,Dragon Goes House-Hunting,0
Shiho Hinomori,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,55
Monkey,Kozaru no Buranko,1
Ms. Accord,Puyo Puyo Fever,1
Gallade,Pokémon: Diamond & Pearl,4
Amakusa,Cinderella Nine,0
Tomo Oshii,Girl Friend BETA,0
Shinobu Sengoku,Ensemble Stars!,6
Base Black,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,1
Miranda Holbrooke,Little Witch Academia TV,1
Shinichi Kudo,Detective Conan,83
Buddha-Like Soushin,Hell's Paradise: Jigokuraku,1
Oswald,Pokémon,1
Torosuke,KonoSuba: An Explosion on this Wonderful World!,1
Donbe,Dragon Ball,0
Loana Dan,Blade & Soul,1
Pannya,Visual Prison,1
Shoko,Wave!!: Surfing Yappe!!,1
Cassim,Magi: The Kingdom of Magic,1
Tonis,Trigun,1
Herba,Final Fantasy: Unlimited,0
Misao Minakami,Asura Cryin',1
Chizuru Nikaidou,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",1
Mai Kondou,"Wake Up, Girls!",0
Tenka Adachi,Shoujo Ramune,18
Amicia Michella,Nijisanji ID,2
Perne,Fire Emblem: Thracia 776,0
Christina,Yakuza 5,1
Lucian,The Alchemist Code,1
Butler,Itsuka Aeru Kimi ni,1
Yurino,Million Doll,0
Bigfoot,Tiger Mask W,1
Reiko Mikami,Hajime no Ippo: The Fighting!,0
Harada,Death Parade,1
George,Fastening Days 2,0
Rentt's Mother,The Unwanted Undead Adventurer,1
Aragaki,Reideen,0
Kojima,Umi Monogatari: Marin no Kore Naani?,0
Kaiki Nagoya,Phantom Thief Jeanne,1
Anna Hanamizawa,Extreme Hearts,0
Jiro Washio,City Hunter,0
Nokiel,2.5 Dimensional Seduction,0
Mio,Re: Hamatora,0
Frog,Popee the Performer,37
Touma Higemaru,Tokyo Ghoul:re 2nd Season,1
Owen,Mysteria Friends,1
Tonosaman,Kotaro Lives Alone,1
Miyo Saimori,My Happy Marriage,188
Arusha,Granblue Fantasy,1
Onyankopon,Attack on Titan: The Final Season,10
Hazuki Myoujin,Shikizakura,1
Silver Razor Back,The Rising of the Shield Hero,1
Keiko Kojika,Zettai Karen Children,0
Lempicka,Rozen Maiden,1
Christie Monteiro,Tekken 4,7
Juzo Nogizaka,Kaiju No. 8,0
Ozpin,RWBY,2
Jun Marumiya,Space Brothers,0
Kazuo,Only Yesterday,1
Nightmare,Dungeon Meshi,1
Pelipper,Pokémon Advanced,2
Symboli Rudolf,Uma Musume: Pretty Derby,31
Budu,1001 Nights,1
Roaming Warrior Leo,Epic Seven,1
Marika Tachibana,Nisekoi,10
Leivinia Birdway,A Certain Magical Index III,1
Dusknoir,Pokémon: Diamond & Pearl,2
Darmanitan,Pokémon: Black & White,1
Mimic Chest,Frieren: Beyond Journey's End,51
Chigusa Kisaragi,The iDOLM@STER,0
Ginji Amano,Get Backers,4
Maya,Lupin III Special 22: The Last Job,0
Low-ranked Demon,The Faraway Paladin,1
Female Shez,Fire Emblem Warriors: Three Hopes,4
Zhu Li,The Legend of Korra,3
Rescue,Corrector Yui,2
Sigilyph,Pokémon: White - Victini and Zekrom,1
Kiri Putin,Chronos Ruler,1
Utahime Iori,Jujutsu Kaisen,89
Marc Antoine-Nicolas de la Motte,The Rose of Versailles,1
Adult Boxing Kangaroo,Naruto Shippuden,1
Louisa Ferre,Shin Megami Tensei: Strange Journey Redux,1
Soun Ebisugawa,The Eccentric Family,0
Yuuki Sasamori,Kanokon,1
Gabu,Arashi no Yoru ni,1
Mimimi Hibakari,Hypnosis Mic: Division Rap Battle - Rhyme Anima,1
Ramba Ral,Mobile Suit Gundam,2
Sariel,Shaman King,0
Zundamaru,Hana no Zundamaru: Junk,0
Syu-chan,Me! Me! Me!,1
Meist,Dragon Century,1
Seika,Baby Princess 3D Paradise 0 [Love],1
Dheginsea,Fire Emblem: Path of Radiance,1
Jayce,Arcane,107
Tomika Amado,Maken-ki!,1
Iris's Mother,Violet Evergarden,1
Ronald Harker,Tantei Opera Milky Holmes: Alternative,0
Bookstore Clerk,Hidamari Sketch x Hoshimittsu,1
Kana,Junji Ito Collection,1
Medina Orthinanos,Sword Art Online: Alicization Lycoris,1
Sen Megumiba,CRYSTAR,1
Nola,Tower of Fantasy,4
Tanio Seikichi,Hell's Paradise: Jigokuraku,1
Pepe,Shugo Chara!,3
Jumpy Dumpty,Genshin Impact,3
Birolinen,Legend of the Galactic Heroes,1
Zaku II Commander Type (Char Aznable Custom),Mobile Suit Gundam,6
Lassi,Shining Tears X Wind,1
Mr. Na,Kirarin Revolution,1
Shibakoppe,Yeastken,1
King Dedede,Kirby: Right Back at Ya!,25
Kana Sumiya,Aki Sora,1
Graf Granat,Frieren: Beyond Journey's End,1
Larch Dirac,Shaman King,1
Shogo Ushiyama,Paranoia Agent,1
Saki Kurokoma,Touhou Project,2
Green Day,JoJo's Bizarre Adventure: Golden Wind,1
Weiss Schnee,RWBY,82
Sagan Samaniel,Honto ni Atta! Reibai-Sensei,1
Hans,The Trapp Family Story,0
Toko,Only Yesterday,1
Beni,Epic Seven,1
Etzel,Fire Emblem: Shadow Dragon,1
Katsuya Saitou,Battle Game in 5 Seconds,0
Hole,Rave Master,1
Chris,The Wrong Way to Use Healing Magic,0
Champion Zerato,Epic Seven,1
Roshi Yodani,Tokyo ESP,1
Kujaku,Go! Go! Loser Ranger!,1
Black Rock,Edens Zero,0
Kazuko Yanagisawa,Furusato Japan,0
Naori,Tales of Arise,1
Leocadio Wöhler,Magatsu Wahrheit,0
Torque,Radiant,1
Flarerizamon,Digimon Xros Wars,1
Marina's Father,Takopi’s Original Sin,0
Gunther Schultz,Attack on Titan,1
Sai Rin,Magi: The Kingdom of Magic,1
Suzuya Aki,Nijisanji,1
Pekichi,Kaze no Matasaburou (2016),1
Hiroshi,Durarara!!,1
Lorelei,Devil Survivor 2: The Animation,1
Icona,The Alchemist Code,1
Valbar,Fire Emblem Echoes: Shadows of Valentia,1
Shalsha,I've Been Killing Slimes for 300 Years and Maxed Out My Level,6
Gi Tata Oota,Baja no Studio,0
Delta,Honkai Impact 3rd,8
Sora Tokikuni,Ensemble Girls!,1
Testa,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,0
Reaper Pin,The World Ends with You,1
Adam,Chi's Sweet Adventure 2nd Season,1
Rinoa Heartilly,Final Fantasy VIII,25
Sabu,UQ Holder!,1
Aki Tsukino,The Troubled Life of Miss Kotoura,1
Ran,Hell's Paradise: Jigokuraku,1
Ikuto Sarashina,Kaichou wa Maid-sama!,1
Boutique Shop Manager,"Saving 80,000 Gold in Another World for My Retirement",1
Wolfram,My Hero Academia: Two Heroes,1
Shiva,Granblue Fantasy,2
Mayuka,"RErideD: Derrida, who leaps through time",0
Noriko Kiryuu,Girl Friend BETA,1
Pandaman,One-Punch Man 2,1
Mercuria,Tales of the Rays,1
Tetora Nagumo,Ensemble Stars!,4
Rui Shigekura,Seirei Gensouki: Spirit Chronicles,1
Zheng Liang,The Daily Life of the Immortal King,1
Child Mouse,Mouse and His Child,1
Sho,Saint Seiya: Knights of the Zodiac,1
Keiri Shima,Skip and Loafer,1
Maki,Mars Daybreak,1
Goliath,RWBY,1
Hild,Ah! My Goddess: Flights of Fancy,1
Woodward,Little Witch Academia TV,1
Adriana,Marvel Future Avengers 2nd Season,1
Angel,Angel Cop,1
Earl Bostalk,Trigun,1
Leader of the Killer League,Scissor Seven,1
Gi Buri,To Love Ru,1
Esha,Maerchen Maedchen,1
Delz,Tentai Senshi Sunred,1
Jonna,Atelier Ryza: Ever Darkness & the Secret Hideout,1
Fubuki,Kamen no Maid Guy,1
Katja,Drifting Dragons,1
Tonio's Dog,JoJo's Bizarre Adventure: Diamond Is Unbreakable,1
Bonita Gerard,Kiddy Grade,1
Alice Blanche,Croisee in a Foreign Labyrinth,0
Suori,"Reborn as a Vending Machine, I Now Wander the Dungeon",1
Clef,Magic Knight Rayearth,1
Xingqiu,Genshin Impact,60
Benge,Vampire Hunter D: Bloodlust,1
Spirit Turtle,The Rising of the Shield Hero 2nd Season,1
Tanaka,King of Prism: Pride the Hero,0
Yuki,Hanada Shounen-shi,0
Monk Droghetti,Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,1
Marconi,Zoids Wild,0
Sakura Deumi,Ani Tore!! XX,1
Rachel Hart,Angelique: Shiroi Tsubasa no Memoire,0
Mamoru Zaitsu,Hatsukoi Limited,1
Henriette,Fire Emblem Heroes,1
Judgment Boy,Gregory Horror Show,4
Makiko Onimaru,Ramen Fighter Miki,0
LadyDevimon,Digimon Adventure,2
Iroh,The Legend of Korra,2
Soldier,The Dragon Dentist,0
Major Magaki,Re:Creators,1
Taisei Uchinashi,number24,1
Lantern,Skull-face Bookseller Honda-san,0
Worm,Hunter x Hunter (2011),1
Taromaru,GeGeGe no Kitarou: Nippon Bakuretsu!!,0
Arc,Skeleton Knight in Another World,30
Michael Harley,Kaze no Stigma,0
Daburanda,Doraemon: Nobita and the Haunts of Evil,0
Naotsugu,Log Horizon,3
Nishikigi Chisato Special Elegant Parfait,Lycoris Recoil,1
Rio Momose,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",1
Mami,Ray the Animation,1
Blue Slime,Dragon Half,1
Masaki Kihara,Hades Project Zeorymer,0
Gondayu Yamabushi,Eyeshield 21,1
Machiko,We Never Learn,1
Oswald,Disney Tsum Tsum,1
Yumi Hanazono,Mahou no Idol Pastel Yumi,0
Man,Psycho-Pass 2,1
Asako Tsukishima,Whisper of the Heart,1
Souheil,Hunter x Hunter (2011),1
Yurie,My Happy Marriage,1
Luka Megurine,Re Boot,111
GM II,Mobile Suit Zeta Gundam,2
Payne Fox,Tiger Mask W,1
Shoot McMahon,Hunter x Hunter (2011),1
Kae Toujou,Shomin Sample,1
Shiranui Mizuki,Taimanin Yukikaze,5
Patches,Suzy's Zoo Daisuki! Witzy,1
Ryuugen Kamiki,Those Snow White Notes,1
King,Ibara-Hime mata wa Nemuri-Hime,0
Marco Broshiv,Professor Layton and the Eternal Diva,0
Herbalist,Avatar: The Last Airbender,1
Yanagin,Daily Lives of High School Boys,1
Kunio Tanaka,Hataraki Man,1
Ojii,The aquatope on white sand,1
Yumi,Blue Spring Ride,1
Hunter,Folktales from Japan 2nd Season,0
Blockman Oni,Ao Oni the Blue Monster,2
Sonny,Banana Fish,1
Valentine de Villefort,Gankutsuou: The Count of Monte Cristo,1
Kuze Daisaku,Yakuza 0,6
Bunta Fujiwara,Initial D,22
Bacura,One Piece,1
Mai Fukuyama,The iDOLM@STER: Cinderella Girls Second Series,1
Andrew Falk,Legend of the Galactic Heroes,1
Isola,Zegapain,0
Loki,009-1,1
Thierry Morello,Death Note,1
Owl,Honkai Impact 3rd,6
Misha's Mother,Koguma no Misha,1
Futaba Mihara,Shinkansen Henkei Robo Shinkalion the Animation,0
Blackout,Tiger Mask W,1
Derecho,Altair: A Record of Battles,1
Urashima,One Piece,1
Lucemon,Digimon Frontier,1
Leon,I-CHU: Halfway Through the Idol,1
Class President,Gabriel Dropout,1
Yurina,NepNep Connect: Chaos Chanpuru,1
Hannah,Tenchi Muyo! War on Geminar,0
Tomoki Takizawa,Taiso Samurai,1
Theresia,Hortensia Saga,0
Veronica,My Dress-Up Darling,17
Erica Simmons,Mobile Suit Gundam SEED,0
Miss Romance,Aikatsu Stars!,1
Yu Narukami,Persona 4 the Animation,112
Mii,Koi to Producer: EVOL×LOVE,1
Koharu Honda,Sword Art Online: Integral Factor,6
