character,series,wishlist
Michiko Yamakawa,Strike Witches,0
Chris Barkhorn,Strike Witches,0
Ryou Fuyusawa,STARMYU 3,0
Shion Kasugano,STARMYU 3,0
Tetsuya Koumoto,STARMYU 2,0
Wataru Chigira,STARMYU 2,0
Masashi Irinatsu,STARMYU 3,0
Taiga Futaba,STARMYU 2,0
Kouki Nanjou,STARMYU 2,0
Mayu Yurino,STARMYU 2,0
Sou Hachiya,STARMYU 2,0
Ritsu Saotome,STARMYU 2,0
Ryousuke Juumonji,STARMYU 2,0
Kouji Manjoume,STARMYU 2,0
Seishirou Inumine,STARMYU,0
Izumi Toraishi,STARMYU,0
Yuuki Nayuki,STARMYU,0
Hajime Toudou,STARMYU 2,0
Kanade Isshiki,STARMYU 2,0
Lion Christian Yuzuriha,STARMYU,0
Haruma Nakakouji,STARMYU 2,0
Sakuya Sazanami,STARMYU,0
Kyouji Akatsuki,STARMYU,0
Haruto Tsukigami,STARMYU,0
Eigo Sawatari,STARMYU,0
Natsuki Sugano,Stand My Heroes: Piece of Truth,0
Satoru Watabei,Stand My Heroes: Piece of Truth,0
You Hattori,Stand My Heroes: Piece of Truth,0
Akira Ugawa,STARMYU,0
Gou Miyase,Stand My Heroes: Piece of Truth,0
Kiyoshi Shindou,Stand My Heroes: Piece of Truth,0
Fumika,Shigofumi,0
Kanbee Kuroda,Sengoku Night Blood,0
Toshiaki Tsuzuki,Sequence,0
Kanon Momoi,Servant x Service,0
Yousuke Christoph Komae,Scared Rider Xechs,0
Hanabi Busujima,Senryuu Girl,0
Nagahide Niwa,Sengoku Night Blood,0
Moliere,Sekkou Boys,0
Castres,Seven Knights Revolution: Hero Successor,0
Kazue Busujima,Senryuu Girl,0
Yoshinobu Tokugawa,Samurai Jam: Bakumatsu Rock,0
Ochazuke,Scared Rider Xechs,0
Yataro Iwasaki,Samurai Jam: Bakumatsu Rock,0
Duesenberg,Scared Rider Xechs,0
Hako Salome Sakura,Scared Rider Xechs,0
Kaoru Saouji,Sankarea,0
Beyond Flamenco,Samurai Flamenco,0
Yuan Iwadate,Saki: The Nationals,0
Haruka's Mother,Sakura Trick,0
Miki Arai,"Say ""I love you.",0
The Freedom's Drummer,Samurai Jam: Bakumatsu Rock,0
Toshi Kumakura,Saki: The Nationals,0
Haruomi Suruga,Scared Rider Xechs,0
Granbach,Scared Rider Xechs,0
Toshizo Hijikata,Samurai Jam: Bakumatsu Rock,0
Mika Katou,Saki: The Nationals,0
Sawaya Shishihara,Saki: The Nationals,0
Natsu Fushiya,Saki: The Nationals,0
Tanaka,The Kawai Complex Guide to Manors and Hostel Behavior,0
Lieral Lieutolu,The Legend of the Legendary Heroes,0
Siphon,The Hidden Dungeon Only I Can Enter,1
Ryuu Kimura,The iDOLM@STER SideM,0
Amehiko Kuzunoha,The iDOLM@STER SideM,1
Felix,The Royal Tutor,0
Shihi Aikawa,The Testament of Sister New Devil,0
Adele Roland,The Good Witch of the West,0
Takashi Hayase,The Testament of Sister New Devil,0
Ichika Sugimoto,The Magic of Chocolate,0
Boy,The iDOLM@STER SideM,0
Makoto Kobayashi,The Magic of Chocolate,0
Sky Blue,The Melody of Oblivion,0
Haruka,This Boy Can Fight Aliens!,0
Yume Kuonji,They Are My Noble Masters,0
Hanatarou,Touken Ranbu: Hanamaru,0
Shiraki,This Boy Suffers from Crystallization,0
Dmitri,The Royal Tutor,0
